x0000,y0000
149.9571681,-0.06836921172,
149.806416,-0.2549561807,
149.6559271,-0.4260125461,
149.5057009,-0.4964082176,
149.3557366,-0.5103700417,
149.2060337,-0.6613901833,
149.0565915,-0.5085935775,
148.9074095,-0.6280368885,
148.7584871,-0.6780920179,
148.6098236,-0.5840794368,
148.4614185,-0.4216600264,
148.3132711,-0.3977999753,
148.1653809,-0.09312067573,
148.0177473,0.09295917345,
147.8703696,0.5429835987,
147.7232473,0.8031116912,
147.5763798,0.6396955933,
147.4297665,0.3746081905,
147.2834068,0.3442567946,
147.1373002,0.1292533328,
146.991446,-0.03719101958,
146.8458437,-0.3220182925,
146.7004926,-0.4061775715,
146.5553923,-0.4658834561,
146.4105421,-0.4175925978,
146.2659414,-0.5003985071,
146.1215898,-0.3891131274,
145.9774865,-0.3292022809,
145.8336312,-0.2455414298,
145.690023,-0.2974315667,
145.5466616,-0.4371747601,
145.4035464,-0.6844266019,
145.2606767,-0.4646711608,
145.118052,-0.5410631907,
144.9756719,-0.4682661063,
144.8335356,-0.3276687184,
144.6916426,-0.1978891968,
144.5499925,-0.3567706449,
144.4085846,-0.3583683087,
144.2674183,-0.418728768,
144.1264932,-0.3417445452,
143.9858087,-0.330179701,
143.8453643,-0.2082942415,
143.7051593,-0.07004266051,
143.5651933,0.05681269906,
143.4254656,-0.03708351008,
143.2859759,0.1647770698,
143.1467235,0.2413102842,
143.0077078,0.3320514505,
142.8689284,0.1523830524,
142.7303848,0.2501759882,
142.5920763,0.1281145646,
142.4540024,0.1314898904,
142.3161627,-0.1499169533,
142.1785566,-0.3895533699,
142.0411835,-0.4768237953,
141.904043,-0.6444426464,
141.7671345,-0.8542412835,
141.6304574,-1.135166394,
141.4940114,-1.147449747,
141.3577958,-1.045563542,
141.2218101,-0.9390654025,
141.0860538,-0.7071733959,
140.9505264,-0.5134410018,
140.8152274,-0.3457071828,
140.6801563,-0.1476095173,
140.5453125,0.03719114081,
140.4106956,0.007705934113,
140.2763051,0.009091705178,
140.1421403,-0.06981870463,
140.0082009,-0.07248953774,
139.8744863,-0.2261496733,
139.740996,-0.2466107349,
139.6077296,-0.3266449587,
139.4746864,-0.477722811,
139.3418661,-0.3255517527,
139.2092681,-0.1635385434,
139.0768919,-0.121932113,
138.9447371,0.0213196459,
138.8128031,-0.1187786162,
138.6810894,0.0219339276,
138.5495956,-0.07048201722,
138.4183212,-0.08402747025,
138.2872656,-0.09275355534,
138.1564285,-0.03608638759,
138.0258092,-0.2399487711,
137.8954074,-0.3372693688,
137.7652225,-0.6720618935,
137.6352541,-0.6168363039,
137.5055016,-0.7765167308,
137.3759647,-0.7293878542,
137.2466428,-0.8540269532,
137.1175354,-0.7276415658,
136.9886421,-0.7083248004,
136.8599624,-0.5203186986,
136.7314959,-0.3168889087,
136.603242,-0.180207616,
136.4752003,-0.2085618121,
136.3473703,-0.1915862845,
136.2197516,-0.007969572813,
136.0923436,0.1213352953,
135.965146,0.0886999797,
135.8381583,-0.02841647689,
135.71138,-0.1768153725,
135.5848106,-0.1916734934,
135.4584497,-0.3518091154,
135.3322968,-0.4464232944,
135.2063515,-0.3978429335,
135.0806133,-0.2453802697,
134.9550818,-0.1273880791,
134.8297565,-0.2152257921,
134.704637,-0.236359786,
134.5797227,-0.1573147004,
134.4550133,-0.03893969633,
134.3305083,0.07127246071,
134.2062073,-0.122905358,
134.0821098,-0.2131177837,
133.9582154,-0.3133508988,
133.8345236,-0.3566101929,
133.7110341,-0.3142552533,
133.5877462,-0.6922854731,
133.4646597,-0.8788370515,
133.341774,-0.7418277848,
133.2190888,-0.8746955532,
133.0966036,-0.7731945477,
132.9743179,-0.510380844,
132.8522314,-0.4047173565,
132.7303436,-0.33682142,
132.608654,-0.1481883992,
132.4871623,-0.006322544577,
132.365868,0.08395324257,
132.2447707,0.04663498805,
132.12387,0.07738912917,
132.0031653,0.1501301191,
131.8826564,0.1216654086,
131.7623428,0.1177115505,
131.642224,0.06063581055,
131.5222997,-0.1541526548,
131.4025694,-0.1202564408,
131.2830327,-0.2071536697,
131.1636892,-0.203092502,
131.0445385,-0.2784136963,
130.9255801,-0.3473006628,
130.8068137,-0.3813526672,
130.6882388,-0.4517019397,
130.569855,-0.500876951,
130.4516619,-0.5658851955,
130.3336591,-0.6306832947,
130.2158463,-0.4776162522,
130.0982229,-0.508066852,
129.9807885,-0.3129062472,
129.8635429,-0.4783681038,
129.7464855,-0.3691654327,
129.629616,-0.5242739707,
129.512934,-0.3965219295,
129.396439,-0.4407494837,
129.2801306,-0.5453633346,
129.1640086,-0.5994830851,
129.0480724,-0.4096750574,
128.9323217,-0.2710735362,
128.816756,0.07036645925,
128.7013751,0.009006928086,
128.5861784,0.08692794399,
128.4711656,0.3297990068,
128.3563363,0.4595479069,
128.2416902,0.5089329395,
128.1272268,0.1697711281,
128.0129457,0.08385827027,
127.8988465,-0.2131716352,
127.7849289,-0.2448463123,
127.6711925,-0.3805952844,
127.5576369,-0.5230039654,
127.4442617,-0.4230488449,
127.3310666,-0.5914459784,
127.218051,-0.4893449089,
