x0000,y0000,x0001,y0001
0,0,177.2000024,21.44373674,
0.2000000027,0.1177082605,185.2000025,26.26977542,
0.4000000053,0.7510412022,194.0000026,26.89060837,
0.600000008,0.9572910747,202.4000027,27.63748291,
0.8000000107,1.113540978,254.8000034,21.31457015,
1.000000013,0.8083328335,379.0000051,157.6540692,
1.200000016,0.4416663935,387.6000052,71.54787242,
1.400000019,-0.04062497488,398.0000053,107.3291003,
1.600000021,0.04583330499,421.6000056,60.32392103,
1.800000024,0.03645831079,464.0000062,55.83225714,
2.000000027,0.07083328953,492.0000066,44.86872225,
2.200000029,-0.02187498647,509.2000068,73.85620433,
2.400000032,-0.3572914457,541.6000072,62.60204462,
2.600000035,-0.7145828914,569.0000076,87.04161284,
2.800000037,-0.5916663008,607.2000081,59.18850506,
3.00000004,-0.8447911442,634.0000085,58.52808881,
3.200000043,-0.5166663472,653.6000087,59.33121331,
3.400000045,-0.8020828373,679.2000091,60.75933743,
3.600000048,-0.6229162815,712.8000095,79.89786726,
3.800000051,-0.8208328257,876.8000117,43.32913987,
4.000000053,-0.5270830074,999.2000133,40.9155997,
4.200000056,-0.7552078663, , ,
4.400000059,-0.7593745304, , ,
4.600000061,-1.035416026, , ,
4.800000064,-0.7968745072, , ,
5.000000067,-0.9916660534, , ,
5.200000069,-0.9343744222, , ,
5.400000072,-0.9645827368, , ,
5.600000075,-0.7781245188, , ,
5.800000077,-0.4572913839, , ,
6.00000008,-0.324999799, , ,
6.200000083,-0.2520831774, , ,
6.400000085,-0.0322916467, , ,
6.600000088,0.2968748164, , ,
6.800000091,0.4489580557, , ,
7.000000093,0.6697912525, , ,
7.200000096,0.9562494087, , ,
7.400000099,0.6624995903, , ,
7.600000101,0.5270830074, , ,
7.800000104,0.414583077, , ,
8.000000107,0.1239582567, , ,
8.200000109,-0.4124997449, , ,
8.400000112,-0.4874996985, , ,
8.600000115,-0.6812495787, , ,
8.800000117,-0.7249995517, , ,
9.00000012,-0.8541661385, , ,
9.200000123,-0.6104162892, , ,
9.400000126,-0.9031244415, , ,
9.600000128,-0.8406244802, , ,
9.800000131,-0.8489578083, , ,
10.00000013,-0.8187494937, , ,
10.20000014,-1.19687426, , ,
10.40000014,-0.8864577851, , ,
10.60000014,-0.7770828528, , ,
10.80000014,-0.8666661307, , ,
11.00000015,-1.189582598, , ,
11.20000015,-1.389582474, , ,
11.40000015,-1.373957484, , ,
11.60000015,-1.107290982, , ,
11.80000016,-1.057291013, , ,
12.00000016,-0.4270830692, , ,
12.20000016,-0.326041465, , ,
12.40000017,-0.08437494782, , ,
12.60000017,0.04270830692, , ,
12.80000017,0.3593747778, , ,
13.00000017,0.8927077813, , ,
13.20000018,1.033332694, , ,
13.40000018,0.8499994744, , ,
13.60000018,0.7645828605, , ,
13.80000018,0.4770830383, , ,
14.00000019,0.2562498415, , ,
14.20000019,-0.2260415269, , ,
14.40000019,-0.1645832316, , ,
14.60000019,-0.4249997372, , ,
14.8000002,-0.7124995594, , ,
15.0000002,-1.28333254, , ,
15.2000002,-1.394790804, , ,
15.40000021,-1.313540854, , ,
15.60000021,-1.280207542, , ,
15.80000021,-1.143749293, , ,
16.00000021,-0.7822911829, , ,
16.20000022,-0.6624995903, , ,
16.40000022,-0.5593746541, , ,
16.60000022,-0.5239580093, , ,
16.80000022,-0.08437494782, , ,
