x0000,y0000
149.9334346,-0.3081198461,
149.7737058,-0.1911495006,
149.6142975,-0.2106720958,
149.4552089,0.01572734635,
149.2964391,0.105740401,
149.1379872,0.008244431201,
148.9798525,0.2056984422,
148.822034,0.1625874653,
148.6645308,0.1442334506,
148.5073423,0.2813479806,
148.3504675,0.05223937179,
148.1939056,0.06435440095,
148.0376558,0.02520267388,
147.8817172,0.05192771838,
147.726089,0.1821951033,
147.5707704,0.3717470268,
147.4157606,0.3395532025,
147.2610587,0.4072985718,
147.1066639,0.3028593094,
146.9525755,0.467418514,
146.7987926,0.4008791139,
146.6453144,0.5222667411,
146.4921401,0.5387667734,
146.3392689,0.524178951,
146.1867,0.3405587763,
146.0344327,0.3042336144,
145.882466,0.0948853082,
145.7307992,-0.1002221618,
145.5794316,-0.1110508894,
145.4283623,-0.1855061782,
145.2775906,-0.3710663097,
145.1271156,-0.3609407207,
144.9769367,-0.3446027016,
144.827053,-0.3189694501,
144.6774637,-0.2405085467,
144.5281681,0.1499257243,
144.3791654,0.1504069647,
144.2304549,0.34819831,
144.0820358,0.5120073064,
143.9339072,0.735292347,
143.7860686,0.5923139931,
143.6385191,0.6702327766,
143.4912579,0.5233386715,
143.3442843,0.626321448,
143.1975976,0.6693677537,
143.0511969,0.7251945047,
142.9050817,0.7541923834,
142.7592511,0.8399850472,
142.6137043,0.5732892889,
142.4684408,0.5532782426,
142.3234596,0.5476766722,
142.1787601,0.6000695678,
142.0343416,0.2900592977,
141.8902033,0.3367461034,
141.7463445,0.2634851835,
141.6027645,0.1419465946,
141.4594625,-0.08723999346,
141.3164379,-0.07590822975,
141.17369,-0.07650421936,
141.0312179,-0.008154566186,
140.889021,-0.248603941,
140.7470987,-0.2333548918,
140.6054501,-0.2520679143,
140.4640747,-0.2927768327,
140.3229716,-0.1248145657,
140.1821402,0.08720202303,
140.0415798,0.06582424642,
139.9012896,0.3226487445,
139.7612691,0.3621003614,
139.6215175,0.5199289569,
139.4820341,0.5813483024,
139.3428183,0.4751975514,
139.2038693,0.2624484275,
139.0651865,0.2229786885,
138.9267692,0.2708075582,
138.7886167,0.2178131796,
138.6507283,0.3408036646,
138.5131034,0.3945771166,
138.3757413,0.3209200236,
138.2386414,0.2981930128,
138.1018029,0.2449350056,
137.9652252,0.264366923,
137.8289076,0.3376318562,
137.6928495,0.3341575476,
137.5570502,0.457179654,
137.4215091,0.37520456,
137.2862255,0.2055482163,
137.1511987,0.2381800967,
137.0164282,0.1865360757,
136.8819132,0.09449110321,
136.7476531,0.1453104871,
136.6136473,-0.03625884453,
136.4798951,-0.09882719599,
136.3463959,0.06946501923,
136.213149,-0.005546700251,
136.0801539,0.1467099733,
135.9474098,0.1609382528,
135.8149162,0.3357472179,
135.6826724,0.3358024802,
135.5506778,0.4155282769,
135.4189318,0.4277711028,
135.2874337,0.530970917,
135.1561829,0.6399282396,
135.0251788,0.5535169168,
134.8944209,0.4633462766,
134.7639083,0.5527989097,
134.6336407,0.4107713212,
134.5036172,0.3423444056,
134.3738374,0.3281970889,
134.2443006,0.401052905,
134.1150063,0.4628709152,
133.9859537,0.4955814896,
133.8571424,0.3022894735,
133.7285716,0.2368307104,
133.6002409,0.09081601536,
133.4721496,0.01133083041,
133.3442971,0.07916798062,
133.2166828,0.0670678325,
133.0893061,-0.04639612731,
132.9621665,0.01984706274,
132.8352634,0.08254234427,
132.7085961,0.2300300173,
132.5821641,0.1467089969,
132.4559668,0.1470934054,
132.3300036,0.09831736752,
132.204274,-0.03467441552,
132.0787773,0.154113285,
131.953513,0.03063523563,
131.8284806,-0.1314227425,
131.7036794,0.09546249393,
131.5791088,0.2515034504,
131.4547684,0.5842480179,
131.3306575,0.3784468399,
131.2067756,0.4905578021,
131.0831221,0.5597879424,
130.9596964,0.5471962731,
130.836498,0.5166998299,
130.7135264,0.2809105364,
130.590781,0.2337681376,
130.4682612,0.2110247711,
130.3459664,0.1533642689,
130.2238962,0.3398310983,
130.1020499,0.2916552832,
129.9804271,0.1689765522,
129.8590271,0.149715644,
129.7378495,0.07629715559,
129.6168937,0.004405808772,
129.4961591,0.07601828805,
129.3756452,0.03010090465,
129.2553515,0.07574077788,
129.1352775,0.1818209587,
129.0154225,0.07484094231,
128.8957861,-0.03921986362,
128.7763678,0.03169156721,
128.6571669,0.06574881006,
128.5381831,0.1448794743,
128.4194157,0.02904680133,
128.3008642,-0.003701362651,
128.1825281,0.1330070158,
128.064407,0.2194319705,
127.9465001,0.2527785797,
127.8288072,0.2811043603,
127.7113275,0.4334244948,
127.5940607,0.4491152753,
127.4770062,0.4026194421,
127.3601635,0.2979223666,
127.243532,0.1875338755,
127.1271114,0.2629212403,
127.010901,0.2769597048,
126.8949003,0.2824961945,
126.7791089,0.2627056113,
126.6635262,0.1389349222,
126.5481518,0.07864801961,
126.4329852,0.188175755,
126.3180257,0.1609178763,
126.2032731,0.1821253142,
126.0887267,0.1460345073,
125.974386,0.2076510976,
125.8602507,0.05701641452,
125.7463201,0.1209425637,
125.6325938,-0.06213826193,
125.5190713,0.028945906,
125.4057521,0.1344459253,
125.2926357,0.1035971147,
125.1797217,0.1615810199,
125.0670096,0.08152589471,
124.9544988,0.0807948065,
124.8421889,0.233769796,
124.7300795,0.2000999758,
124.61817,0.139762007,
124.50646,0.3121602531,
124.394949,0.2738868675,
124.2836365,0.1482844215,
124.172522,0.260770773,
124.0616052,0.3359174975,
123.9508854,0.1814880033,
123.8403624,0.1765647196,
123.7300355,0.1716585278,
123.6199043,0.03553161787,
123.5099684,0.124712315,
123.4002273,0.1958740831,
123.2906805,0.1938171653,
123.1813276,0.1075489174,
123.0721681,0.116447313,
122.9632016,0.1326854475,
122.8544276,0.2903735666,
122.7458457,0.2203621753,
122.6374553,0.2019243306,
122.5292561,0.104162402,
122.4212477,0.1090372955,
122.3134295,0.07518179186,
122.2058011,0.08737102986,
122.098362,0.04025416148,
121.9911119,0.101016599,
121.8840503,0.1565513495,
121.7771767,0.1657309176,
121.6704907,0.219291394,
121.5639919,0.2826391622,
121.4576798,0.2052457555,
121.3515539,0.254589073,
121.245614,0.3362851373,
121.1398594,0.3714677023,
121.0342898,0.3032468207,
120.9289048,0.1946820304,
120.8237039,0.0602186447,
120.7186867,-0.03224270898,
120.6138528,0.04800692021,
120.5092017,0.05935943713,
120.404733,0.1027466389,
120.3004464,0.07109189632,
120.1963412,0.04279759036,
120.0924173,0.1119454468,
119.9886741,0.02213422121,
119.8851111,0.09269441652,
119.7817281,0.02582328818,
119.6785246,0.09129875165,
119.5755001,0.02198091793,
119.4726542,0.1835703661,
119.3699866,0.0886877146,
119.2674969,-0.004800044258,
119.1651845,-0.05537119071,
119.0630491,-0.02019678979,
118.9610903,0.07481118259,
118.8593078,0.1006352431,
118.757701,0.1549221957,
118.6562695,0.235413215,
118.5550131,0.2202534142,
118.4539312,0.156226116,
