x0000,y0000
149.8812499,0.8499421572,
149.7217159,0.4034605685,
149.5624658,0.4325757215,
149.4034989,0.421052926,
149.2448145,0.3955324764,
149.0864119,0.2176099489,
148.9282905,0.3077337041,
148.7704496,0.4016441258,
148.6128885,0.4509462755,
148.4556067,0.3421120774,
148.2986033,0.5261486448,
148.1418779,0.3979910716,
147.9854296,0.3850756175,
147.8292579,0.3193811319,
147.6733622,0.4867435821,
147.5177416,0.2939600678,
147.3623957,0.4906859092,
147.2073238,0.3106771111,
147.0525252,0.5840104505,
146.8979992,0.5395599002,
146.7437453,0.9897265143,
146.5897628,1.003210084,
146.4360511,1.260606823,
146.2826095,1.030029063,
146.1294374,1.221908536,
145.9765341,0.9349139347,
145.8238991,1.061152724,
145.6715318,0.7659257592,
145.5194314,0.8643124072,
145.3675973,0.4108567789,
145.216029,0.4259124368,
145.0647259,0.2779336685,
144.9136872,0.4747267767,
144.7629124,0.2863785149,
144.6124009,0.08145582147,
144.4621521,-0.07896812463,
144.3121653,0.1951248411,
144.1624399,0.1332328162,
144.0129754,0.3220018912,
143.8637711,0.262432855,
143.7148264,0.4402442608,
143.5661408,0.2731268361,
143.4177136,0.4711554756,
143.2695442,0.3377176005,
143.121632,0.5403340179,
142.9739765,0.3496090331,
142.826577,0.5039449581,
142.6794329,0.4839290966,
142.5325437,0.8140697585,
142.3859088,1.087363297,
142.2395275,1.310196629,
142.0933994,1.207555744,
141.9475237,1.244184354,
141.8019,1.108663202,
141.6565277,1.153652754,
141.5114061,0.7144087875,
141.3665348,0.6588975662,
141.221913,0.2626534728,
141.0775403,0.1224607753,
140.9334161,-0.1290000732,
140.7895398,-0.1766957286,
140.6459108,-0.2668303533,
140.5025286,-0.1775813558,
140.3593926,-0.1832353829,
140.2165023,0.00520506938,
140.073857,0.04156915401,
139.9314563,0.1541351171,
139.7892995,0.2056546747,
139.6473861,0.4888861484,
139.5057156,0.4629837677,
139.3642874,0.7241991682,
139.223101,0.5267921622,
139.0821557,0.6175752597,
138.9414511,0.4532382134,
138.8009866,0.3742521681,
138.6607616,0.2400762384,
138.5207756,0.2826469755,
138.3810281,0.503243842,
138.2415186,0.6454079551,
138.1022464,0.9066725365,
137.9632111,0.997018889,
137.824412,1.037218,
137.6858488,1.165970278,
137.5475208,1.056014415,
137.4094275,1.00535661,
137.2715684,0.5983173284,
137.1339429,0.467672933,
136.9965506,0.2223583195,
136.8593908,0.2119892307,
136.7224631,-0.03847830033,
136.585767,-0.1764164125,
136.4493019,-0.3181492611,
136.3130673,-0.2339552838,
136.1770627,-0.302920813,
136.0412875,-0.1215291977,
135.9057413,-0.2652206167,
135.7704236,0.07323529552,
135.6353337,0.09490496699,
135.5004713,0.348802869,
135.3658358,0.2073883074,
135.2314267,0.3462318859,
135.0972434,0.2555716423,
134.9632856,0.4559103501,
134.8295526,0.49550978,
134.696044,0.4592452133,
134.5627593,0.4113099558,
134.429698,0.460476987,
134.2968595,0.5737682882,
134.1642434,0.7777767113,
134.0318492,0.5876963943,
133.8996763,0.6665015342,
133.7677244,0.5459065328,
133.6359928,0.5360830884,
133.5044812,0.364776757,
133.373189,0.4789530748,
133.2421157,0.3860706447,
133.1112609,0.4657815225,
132.980624,0.4384924056,
132.8502046,0.5999723489,
132.7200022,0.4993711732,
132.5900163,0.5343926586,
132.4602465,0.3106483388,
132.3306922,0.1476500269,
132.2013529,0.03096177562,
132.0722283,-0.08197980269,
131.9433178,-0.07714793181,
131.814621,0.01808298073,
131.6861373,-0.06218267628,
131.5578664,0.06474985476,
131.4298077,0.1226212919,
131.3019608,0.2993932295,
131.1743252,0.3932176114,
131.0469004,0.4661747726,
130.919686,0.3985405517,
130.7926815,0.62326207,
130.6658865,0.6334518533,
130.5393005,0.7602071567,
130.412923,0.6392585868,
130.2867536,0.6638133994,
130.1607918,0.6791091166,
130.0350371,0.8016803382,
129.9094892,0.6095825378,
129.7841475,0.5335686434,
129.6590117,0.2728585274,
129.5340812,0.5532736296,
129.4093556,0.4108671449,
129.2848345,0.3732569219,
129.1605173,0.3144196849,
129.0364038,0.4191858522,
128.9124934,0.3069429916,
128.7887856,0.409446461,
128.6652801,0.3432186571,
128.5419764,0.3189157965,
128.418874,0.1812994458,
128.2959726,0.1976329281,
128.1732716,-0.0791796689,
128.0507707,-0.121125938,
127.9284694,-0.1222015521,
127.8063673,-0.16711813,
127.684464,-0.3324235749,
127.5627589,-0.04180204781,
127.4412518,0.06260114743,
127.319942,0.2253767827,
127.1988294,0.4166166865,
127.0779133,0.7035121932,
126.9571934,0.8324165569,
126.8366693,1.165375621,
126.7163405,0.9875240482,
126.5962066,0.84650748,
126.4762671,0.6766092746,
126.3565218,0.5982418705,
126.2369701,0.4137371376,
126.1176116,0.2261007017,
125.998446,0.05953464992,
125.8794728,0.1770773553,
125.7606915,0.199663333,
125.6421018,0.4073229751,
125.5237033,0.1515757176,
125.4054955,0.1673259735,
125.2874781,0.113008884,
125.1696506,-0.05212119577,
125.0520127,-0.2350865198,
124.9345638,-0.1521939124,
124.8173037,-0.1604927761,
124.7002319,-0.08468699471,
124.583348,-0.1253059505,
124.4666516,-0.02550684202,
124.3501423,-0.181899689,
124.2338197,-0.01150185729,
124.1176834,-0.02780201348,
124.001733,0.1659416971,
123.8859682,0.2705041681,
123.7703884,0.530519514,
123.6549934,0.6299611891,
123.5397827,0.733880962,
123.424756,0.7829936054,
123.3099128,0.8367296209,
123.1952527,0.9034205987,
123.0807754,0.9877704131,
122.9664805,0.8250033086,
122.8523676,0.8070618069,
122.7384363,0.5359993289,
122.6246862,0.4345109435,
122.511117,0.3309801101,
122.3977281,0.3068504671,
122.2845194,0.02415556742,
122.1714904,0.157056153,
122.0586406,0.1109982598,
121.9459698,0.1712175403,
121.8334776,-0.02927162329,
121.7211635,0.1326827379,
121.6090272,0.03968346699,
121.4970684,0.1922769062,
121.3852865,0.1867372984,
121.2736814,0.08015273405,
121.1622526,0.03305427893,
121.0509997,0.1181127927,
120.9399224,0.255507316,
120.8290202,0.4559558817,
120.7182929,0.4765585454,
120.6077401,0.5011229443,
120.4973613,0.2688361864,
120.3871563,0.2133540604,
120.2771246,0.05382726139,
120.1672659,0.3527576264,
120.0575799,0.3516326022,
119.9480661,0.3704582847,
119.8387243,0.4387308996,
119.729554,0.5113339171,
119.6205549,0.6767388955,
119.5117266,0.8161380665,
119.4030688,0.8335208208,
119.2945812,0.8361682988,
119.1862633,0.6302320267,
119.0781148,0.5543898577,
118.9701354,0.4669827136,
118.8623247,0.4252948023,
118.7546824,0.1843054635,
118.647208,0.1666788024,
118.5399014,0.07092347012,
